1000,6960916
2000,2110833
3000,4008875
4000,7230709
5000,6593875
6000,1440084
7000,1697417
8000,1978250
9000,2968083
10000,2447542
11000,3165416
12000,5243791
13000,2948292
14000,3253791
15000,3472042
16000,4822667
17000,12560208
18000,4725959
19000,5332750
20000,4807834
21000,5033625
22000,11991958
23000,6024875
24000,5781250
25000,5101375
26000,5835458
27000,6049792
28000,7262417
29000,6652250
30000,5137375
31000,5188292
32000,7939166
33000,6543625
34000,14156042
35000,11022167
36000,13557167
37000,7376250
38000,6721375
39000,8038375
40000,5451792
41000,8177458
42000,8365666
43000,6110750
44000,6166291
45000,7845250
46000,7437917
47000,6562792
48000,6468500
49000,6971375
50000,6659125
51000,7170000
52000,7236375
53000,10342333
54000,9292916
55000,9231084
56000,17118625
57000,10612959
58000,10910791
59000,8588917
60000,8467667
61000,8264917
62000,8487000
63000,9171875
64000,8894417
65000,9729167
66000,9461375
67000,8867959
68000,9985250
69000,9841250
70000,9719542
71000,11587708
72000,10608292
73000,11324875
74000,10660292
75000,11032625
76000,10948167
77000,11198958
78000,11205958
79000,10631708
80000,11246917
81000,11629083
82000,11621000
83000,11405042
84000,11592958
85000,20945959
86000,17144042
87000,13325292
88000,12524500
89000,12388208
90000,12922667
91000,12906583
92000,13078125
93000,13206334
94000,13679834
95000,14024667
96000,14269375
97000,14109417
98000,13849416
99000,14011125
100000,14093542
